"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","1 468 K"
"Registry","172","Services","0","33 476 K"
"smss.exe","620","Services","0","508 K"
"csrss.exe","836","Services","0","2 900 K"
"wininit.exe","932","Services","0","2 660 K"
"csrss.exe","940","Console","1","4 176 K"
"services.exe","1004","Services","0","7 872 K"
"lsass.exe","576","Services","0","14 388 K"
"svchost.exe","1032","Services","0","17 772 K"
"fontdrvhost.exe","1060","Services","0","1 588 K"
"svchost.exe","1120","Services","0","15 336 K"
"svchost.exe","1164","Services","0","4 456 K"
"winlogon.exe","1224","Console","1","3 620 K"
"fontdrvhost.exe","1280","Console","1","5 248 K"
"dwm.exe","1368","Console","1","138 312 K"
"svchost.exe","1488","Services","0","5 952 K"
"svchost.exe","1496","Services","0","8 528 K"
"svchost.exe","1512","Services","0","10 048 K"
"IntelCpHDCPSvc.exe","1604","Services","0","1 928 K"
"svchost.exe","1620","Services","0","5 136 K"
"svchost.exe","1628","Services","0","6 496 K"
"svchost.exe","1636","Services","0","2 464 K"
"svchost.exe","1644","Services","0","4 716 K"
"svchost.exe","1764","Services","0","15 580 K"
"svchost.exe","1864","Services","0","2 512 K"
"svchost.exe","1960","Services","0","2 664 K"
"igfxCUIServiceN.exe","1992","Services","0","3 164 K"
"svchost.exe","780","Services","0","6 372 K"
"svchost.exe","2084","Services","0","4 488 K"
"svchost.exe","2108","Services","0","2 248 K"
"svchost.exe","2116","Services","0","6 152 K"
"svchost.exe","2216","Services","0","3 128 K"
"svchost.exe","2224","Services","0","4 052 K"
"svchost.exe","2236","Services","0","3 964 K"
"Memory Compression","2296","Services","0","12 K"
"svchost.exe","2356","Services","0","7 480 K"
"svchost.exe","2452","Services","0","6 812 K"
"svchost.exe","2500","Services","0","2 328 K"
"svchost.exe","2664","Services","0","6 412 K"
"svchost.exe","2756","Services","0","11 992 K"
"svchost.exe","2780","Services","0","5 900 K"
"svchost.exe","2788","Services","0","4 656 K"
"svchost.exe","2796","Services","0","3 624 K"
"svchost.exe","2960","Services","0","4 340 K"
"svchost.exe","3036","Services","0","9 036 K"
"svchost.exe","2744","Services","0","3 896 K"
"spoolsv.exe","3148","Services","0","10 932 K"
"svchost.exe","3216","Services","0","13 624 K"
"svchost.exe","3260","Services","0","3 636 K"
"svchost.exe","3544","Services","0","9 272 K"
"armsvc.exe","3552","Services","0","1 844 K"
"svchost.exe","3564","Services","0","31 744 K"
"svchost.exe","3572","Services","0","14 376 K"
"MigrationService.exe","3580","Services","0","4 248 K"
"svchost.exe","3588","Services","0","10 456 K"
"SamsungMagicianSVC.exe","3596","Services","0","14 660 K"
"svchost.exe","3604","Services","0","2 632 K"
"svchost.exe","3612","Services","0","2 824 K"
"svchost.exe","3620","Services","0","1 748 K"
"RstMwService.exe","3628","Services","0","2 576 K"
"svchost.exe","3640","Services","0","40 264 K"
"pg_ctl.exe","3656","Services","0","2 112 K"
"OneApp.IGCC.WinService.exe","3664","Services","0","25 620 K"
"sqlwriter.exe","3688","Services","0","2 496 K"
"WMIRegistrationService.exe","3696","Services","0","2 676 K"
"MsMpEng.exe","3732","Services","0","307 036 K"
"LMS.exe","3812","Services","0","2 788 K"
"svchost.exe","4032","Services","0","2 008 K"
"svchost.exe","4040","Services","0","4 356 K"
"svchost.exe","4052","Services","0","4 720 K"
"jhi_service.exe","4220","Services","0","2 220 K"
"postgres.exe","4532","Services","0","4 028 K"
"conhost.exe","4540","Services","0","6 944 K"
"dasHost.exe","4948","Services","0","11 636 K"
"svchost.exe","4992","Services","0","5 172 K"
"svchost.exe","4652","Services","0","3 104 K"
"postgres.exe","5172","Services","0","2 232 K"
"svchost.exe","5580","Services","0","4 704 K"
"postgres.exe","5532","Services","0","2 500 K"
"postgres.exe","5524","Services","0","2 452 K"
"postgres.exe","5468","Services","0","2 392 K"
"postgres.exe","5464","Services","0","3 448 K"
"postgres.exe","5608","Services","0","2 664 K"
"postgres.exe","4988","Services","0","3 076 K"
"sihost.exe","2612","Console","1","15 492 K"
"svchost.exe","4548","Console","1","11 740 K"
"igfxEMN.exe","1476","Console","1","5 264 K"
"svchost.exe","5624","Console","1","19 444 K"
"taskhostw.exe","6168","Console","1","9 184 K"
"svchost.exe","6248","Services","0","11 252 K"
"taskhostw.exe","6432","Console","1","10 372 K"
"svchost.exe","6448","Services","0","7 804 K"
"svchost.exe","6484","Services","0","2 696 K"
"ctfmon.exe","6548","Console","1","11 328 K"
"explorer.exe","6636","Console","1","177 488 K"
"svchost.exe","7124","Console","1","14 936 K"
"svchost.exe","7268","Services","0","1 964 K"
"SearchIndexer.exe","7336","Services","0","21 564 K"
"svchost.exe","7432","Services","0","2 928 K"
"svchost.exe","7436","Services","0","2 552 K"
"svchost.exe","7528","Services","0","5 188 K"
"NisSrv.exe","7916","Services","0","5 288 K"
"StartMenuExperienceHost.exe","8340","Console","1","35 788 K"
"svchost.exe","8616","Services","0","6 572 K"
"svchost.exe","8816","Services","0","9 248 K"
"RuntimeBroker.exe","8844","Console","1","8 512 K"
"MoUsoCoreWorker.exe","8936","Services","0","22 224 K"
"SearchApp.exe","9176","Console","1","157 372 K"
"RuntimeBroker.exe","7004","Console","1","27 404 K"
"svchost.exe","10168","Services","0","12 724 K"
"svchost.exe","9552","Services","0","6 656 K"
"SecurityHealthService.exe","10076","Services","0","7 384 K"
"ShellExperienceHost.exe","10504","Console","1","31 672 K"
"RuntimeBroker.exe","10748","Console","1","12 832 K"
"RuntimeBroker.exe","10828","Console","1","3 456 K"
"PhoneExperienceHost.exe","10980","Console","1","78 420 K"
"RuntimeBroker.exe","11228","Console","1","3 852 K"
"svchost.exe","10344","Services","0","6 476 K"
"SecurityHealthSystray.exe","8760","Console","1","3 340 K"
"RtkNGUI64.exe","8120","Console","1","4 752 K"
"OneDrive.exe","6752","Console","1","43 592 K"
"SamsungMagician.exe","11800","Console","1","17 752 K"
"SamsungMagician.exe","11968","Console","1","7 368 K"
"SamsungMagician.exe","12072","Console","1","4 700 K"
"SamsungMagician.exe","12256","Console","1","39 412 K"
"SystemSettings.exe","13736","Console","1","1 080 K"
"ApplicationFrameHost.exe","13744","Console","1","8 336 K"
"UserOOBEBroker.exe","14136","Console","1","2 968 K"
"svchost.exe","11740","Console","1","11 020 K"
"svchost.exe","3832","Services","0","8 908 K"
"SgrmBroker.exe","11116","Services","0","8 168 K"
"svchost.exe","13808","Services","0","4 812 K"
"chrome.exe","7964","Console","1","203 336 K"
"chrome.exe","1700","Console","1","2 940 K"
"chrome.exe","4308","Console","1","560 888 K"
"chrome.exe","4868","Console","1","38 700 K"
"chrome.exe","13212","Console","1","10 880 K"
"TextInputHost.exe","2304","Console","1","32 908 K"
"CompPkgSrv.exe","7108","Console","1","2 168 K"
"chrome.exe","5804","Console","1","161 904 K"
"chrome.exe","4144","Console","1","52 588 K"
"chrome.exe","12708","Console","1","29 144 K"
"chrome.exe","13584","Console","1","8 868 K"
"chrome.exe","7864","Console","1","64 780 K"
"chrome.exe","2536","Console","1","44 980 K"
"chrome.exe","8804","Console","1","120 312 K"
"chrome.exe","9036","Console","1","231 728 K"
"devenv.exe","12640","Console","1","1 286 844 K"
"PerfWatson2.exe","12684","Console","1","88 420 K"
"Microsoft.ServiceHub.Controller.exe","11928","Console","1","67 316 K"
"ServiceHub.VSDetouredHost.exe","8084","Console","1","51 660 K"
"ServiceHub.IdentityHost.exe","5248","Console","1","62 720 K"
"ServiceHub.SettingsHost.exe","5224","Console","1","46 912 K"
"ServiceHub.ThreadedWaitDialog.exe","12012","Console","1","72 352 K"
"ServiceHub.RoslynCodeAnalysisService.exe","11952","Console","1","398 200 K"
"ServiceHub.Host.netfx.x86.exe","13672","Console","1","35 960 K"
"ServiceHub.IndexingService.exe","7708","Console","1","51 660 K"
"ServiceHub.Host.dotnet.x64.exe","12204","Console","1","23 984 K"
"ServiceHub.Host.AnyCPU.exe","13100","Console","1","84 412 K"
"ServiceHub.DataWarehouseHost.exe","15172","Console","1","141 468 K"
"ServiceHub.TestWindowStoreHost.exe","6304","Console","1","42 764 K"
"WebViewHost.exe","13804","Console","1","57 488 K"
"ServiceHub.IntellicodeModelService.exe","5352","Console","1","957 636 K"
"ServiceHub.Host.dotnet.x64.exe","9332","Console","1","85 356 K"
"dllhost.exe","7808","Console","1","4 060 K"
"VsDebugConsole.exe","7952","Console","1","2 328 K"
"conhost.exe","9520","Console","1","14 068 K"
"chrome.exe","14100","Console","1","73 148 K"
"Microsoft.Photos.exe","13560","Console","1","58 360 K"
"RuntimeBroker.exe","5012","Console","1","12 444 K"
"svchost.exe","2484","Services","0","4 832 K"
"chrome.exe","1068","Console","1","114 660 K"
"chrome.exe","13600","Console","1","107 632 K"
"chrome.exe","7780","Console","1","101 656 K"
"chrome.exe","13184","Console","1","55 752 K"
"chrome.exe","6884","Console","1","92 872 K"
"chrome.exe","9140","Console","1","99 504 K"
"chrome.exe","6616","Console","1","73 700 K"
"chrome.exe","15440","Console","1","81 024 K"
"chrome.exe","13196","Console","1","91 816 K"
"chrome.exe","11684","Console","1","49 272 K"
"chrome.exe","9184","Console","1","94 916 K"
"chrome.exe","15340","Console","1","107 920 K"
"MSBuild.exe","1792","Console","1","76 148 K"
"conhost.exe","15884","Console","1","11 108 K"
"chrome.exe","17608","Console","1","97 624 K"
"chrome.exe","7876","Console","1","101 716 K"
"chrome.exe","17596","Console","1","103 384 K"
"chrome.exe","10368","Console","1","104 784 K"
"chrome.exe","7408","Console","1","97 792 K"
"chrome.exe","11680","Console","1","80 536 K"
"svchost.exe","17652","Services","0","7 516 K"
"VBCSCompiler.exe","16524","Console","1","166 828 K"
"conhost.exe","17108","Console","1","10 916 K"
"StandardCollector.Service.exe","5764","Services","0","87 656 K"
"WmiPrvSE.exe","12912","Services","0","10 792 K"
"ServerAnalytics.exe","18300","Console","1","75 520 K"
"msedgewebview2.exe","18364","Console","1","96 224 K"
"msedgewebview2.exe","12556","Console","1","7 988 K"
"msedgewebview2.exe","2644","Console","1","102 956 K"
"msedgewebview2.exe","6412","Console","1","25 500 K"
"msedgewebview2.exe","17848","Console","1","18 216 K"
"msedgewebview2.exe","10024","Console","1","86 552 K"
"msedgewebview2.exe","19088","Console","1","52 752 K"
"msedgewebview2.exe","12628","Console","1","64 652 K"
"msedgewebview2.exe","2660","Console","1","69 788 K"
"chrome.exe","1736","Console","1","54 720 K"
"chrome.exe","6604","Console","1","36 628 K"
"chrome.exe","6736","Console","1","28 432 K"
"cmd.exe","18408","Console","1","4 384 K"
"tasklist.exe","9360","Console","1","9 044 K"
